N r h tau error
50 10 4.000000e-02 2.000000e-01 1.790901e-06
50 20 4.000000e-02 1.000000e-01 1.156329e-06
50 30 4.000000e-02 6.666667e-02 9.133850e-07
50 40 4.000000e-02 5.000000e-02 7.771345e-07
50 50 4.000000e-02 4.000000e-02 6.856531e-07
50 60 4.000000e-02 3.333333e-02 6.179270e-07
50 70 4.000000e-02 2.857143e-02 5.677284e-07
50 80 4.000000e-02 2.500000e-02 5.318877e-07
50 90 4.000000e-02 2.222222e-02 4.916265e-07
50 100 4.000000e-02 2.000000e-02 4.638695e-07
50 110 4.000000e-02 1.818182e-02 4.459178e-07
50 120 4.000000e-02 1.666667e-02 4.185679e-07
50 130 4.000000e-02 1.538462e-02 4.048180e-07
50 140 4.000000e-02 1.428571e-02 3.946929e-07
50 150 4.000000e-02 1.333333e-02 3.801873e-07
50 160 4.000000e-02 1.250000e-02 3.540503e-07
50 170 4.000000e-02 1.176471e-02 3.554591e-07
50 180 4.000000e-02 1.111111e-02 3.318364e-07
50 190 4.000000e-02 1.052632e-02 3.309916e-07
50 200 4.000000e-02 1.000000e-02 3.236134e-07
50 210 4.000000e-02 9.523810e-03 3.057329e-07
50 220 4.000000e-02 9.090909e-03 3.039913e-07
50 230 4.000000e-02 8.695652e-03 2.872997e-07
50 240 4.000000e-02 8.333333e-03 2.830786e-07
50 250 4.000000e-02 8.000000e-03 2.795318e-07
50 260 4.000000e-02 7.692308e-03 2.785516e-07
50 270 4.000000e-02 7.407407e-03 2.756832e-07
50 280 4.000000e-02 7.142857e-03 2.501088e-07
50 290 4.000000e-02 6.896552e-03 2.629863e-07
50 300 4.000000e-02 6.666667e-03 2.513890e-07
50 310 4.000000e-02 6.451613e-03 2.465175e-07
50 320 4.000000e-02 6.250000e-03 2.479187e-07
50 330 4.000000e-02 6.060606e-03 2.233061e-07
50 340 4.000000e-02 5.882353e-03 2.332271e-07
50 350 4.000000e-02 5.714286e-03 2.167331e-07
50 360 4.000000e-02 5.555556e-03 2.256491e-07
50 370 4.000000e-02 5.405405e-03 2.297932e-07
50 380 4.000000e-02 5.263158e-03 2.250986e-07
50 390 4.000000e-02 5.128205e-03 2.241795e-07
50 400 4.000000e-02 5.000000e-03 1.992306e-07
