N r h tau error
10 10 2.000000e-01 2.000000e-01 1.342458e-04
10 20 2.000000e-01 1.000000e-01 9.156701e-05
10 30 2.000000e-01 6.666667e-02 7.406527e-05
10 40 2.000000e-01 5.000000e-02 6.386270e-05
10 50 2.000000e-01 4.000000e-02 5.699057e-05
10 60 2.000000e-01 3.333333e-02 5.198267e-05
10 70 2.000000e-01 2.857143e-02 4.806040e-05
10 80 2.000000e-01 2.500000e-02 4.492785e-05
10 90 2.000000e-01 2.222222e-02 4.237168e-05
10 100 2.000000e-01 2.000000e-02 4.014507e-05
20 10 1.000000e-01 2.000000e-01 1.972418e-05
20 20 1.000000e-01 1.000000e-01 1.338989e-05
20 30 1.000000e-01 6.666667e-02 1.077663e-05
20 40 1.000000e-01 5.000000e-02 9.266442e-06
20 50 1.000000e-01 4.000000e-02 8.248632e-06
20 60 1.000000e-01 3.333333e-02 7.533111e-06
20 70 1.000000e-01 2.857143e-02 6.951572e-06
20 80 1.000000e-01 2.500000e-02 6.508876e-06
20 90 1.000000e-01 2.222222e-02 6.129726e-06
20 100 1.000000e-01 2.000000e-02 5.805687e-06
30 10 6.666667e-02 2.000000e-01 5.757151e-06
30 20 6.666667e-02 1.000000e-01 3.916774e-06
30 30 6.666667e-02 6.666667e-02 3.154689e-06
30 40 6.666667e-02 5.000000e-02 2.713440e-06
30 50 6.666667e-02 4.000000e-02 2.417745e-06
30 60 6.666667e-02 3.333333e-02 2.202700e-06
30 70 6.666667e-02 2.857143e-02 2.037127e-06
30 80 6.666667e-02 2.500000e-02 1.900091e-06
30 90 6.666667e-02 2.222222e-02 1.795435e-06
30 100 6.666667e-02 2.000000e-02 1.695133e-06
40 10 5.000000e-02 2.000000e-01 2.094061e-06
40 20 5.000000e-02 1.000000e-01 1.404334e-06
40 30 5.000000e-02 6.666667e-02 1.122352e-06
40 40 5.000000e-02 5.000000e-02 9.611533e-07
40 50 5.000000e-02 4.000000e-02 8.547539e-07
40 60 5.000000e-02 3.333333e-02 7.752797e-07
40 70 5.000000e-02 2.857143e-02 7.157654e-07
40 80 5.000000e-02 2.500000e-02 6.687843e-07
40 90 5.000000e-02 2.222222e-02 6.294871e-07
40 100 5.000000e-02 2.000000e-02 5.963904e-07
50 10 4.000000e-02 2.000000e-01 1.790901e-06
50 20 4.000000e-02 1.000000e-01 1.156329e-06
50 30 4.000000e-02 6.666667e-02 9.133850e-07
50 40 4.000000e-02 5.000000e-02 7.771345e-07
50 50 4.000000e-02 4.000000e-02 6.856531e-07
50 60 4.000000e-02 3.333333e-02 6.179270e-07
50 70 4.000000e-02 2.857143e-02 5.677284e-07
50 80 4.000000e-02 2.500000e-02 5.318877e-07
50 90 4.000000e-02 2.222222e-02 4.916265e-07
50 100 4.000000e-02 2.000000e-02 4.638695e-07
60 10 3.333333e-02 2.000000e-01 2.449988e-06
60 20 3.333333e-02 1.000000e-01 1.599990e-06
60 30 3.333333e-02 6.666667e-02 1.268429e-06
60 40 3.333333e-02 5.000000e-02 1.080389e-06
60 50 3.333333e-02 4.000000e-02 9.572716e-07
60 60 3.333333e-02 3.333333e-02 8.649701e-07
60 70 3.333333e-02 2.857143e-02 7.961888e-07
60 80 3.333333e-02 2.500000e-02 7.404901e-07
60 90 3.333333e-02 2.222222e-02 6.944634e-07
60 100 3.333333e-02 2.000000e-02 6.550610e-07
70 10 2.857143e-02 2.000000e-01 3.122789e-06
70 20 2.857143e-02 1.000000e-01 2.046224e-06
70 30 2.857143e-02 6.666667e-02 1.625144e-06
70 40 2.857143e-02 5.000000e-02 1.387217e-06
70 50 2.857143e-02 4.000000e-02 1.228462e-06
70 60 2.857143e-02 3.333333e-02 1.114487e-06
70 70 2.857143e-02 2.857143e-02 1.025495e-06
70 80 2.857143e-02 2.500000e-02 9.558624e-07
70 90 2.857143e-02 2.222222e-02 8.968978e-07
70 100 2.857143e-02 2.000000e-02 8.512329e-07
80 10 2.500000e-02 2.000000e-01 3.739143e-06
80 20 2.500000e-02 1.000000e-01 2.455540e-06
80 30 2.500000e-02 6.666667e-02 1.953301e-06
80 40 2.500000e-02 5.000000e-02 1.667600e-06
80 50 2.500000e-02 4.000000e-02 1.478553e-06
80 60 2.500000e-02 3.333333e-02 1.342249e-06
80 70 2.500000e-02 2.857143e-02 1.235903e-06
80 80 2.500000e-02 2.500000e-02 1.152205e-06
80 90 2.500000e-02 2.222222e-02 1.081869e-06
80 100 2.500000e-02 2.000000e-02 1.022949e-06
90 10 2.222222e-02 2.000000e-01 4.319217e-06
90 20 2.222222e-02 1.000000e-01 2.839738e-06
90 30 2.222222e-02 6.666667e-02 2.259804e-06
90 40 2.222222e-02 5.000000e-02 1.930847e-06
90 50 2.222222e-02 4.000000e-02 1.712265e-06
90 60 2.222222e-02 3.333333e-02 1.554608e-06
90 70 2.222222e-02 2.857143e-02 1.431622e-06
90 80 2.222222e-02 2.500000e-02 1.334878e-06
90 90 2.222222e-02 2.222222e-02 1.253777e-06
90 100 2.222222e-02 2.000000e-02 1.186631e-06
