N r h tau error
10 10 2.000000e-01 2.000000e-01 1.253742e-04
10 20 2.000000e-01 1.000000e-01 8.885799e-05
10 30 2.000000e-01 6.666667e-02 7.268066e-05
10 40 2.000000e-01 5.000000e-02 6.299307e-05
10 50 2.000000e-01 4.000000e-02 5.634210e-05
10 60 2.000000e-01 3.333333e-02 5.148546e-05
10 70 2.000000e-01 2.857143e-02 4.768737e-05
10 80 2.000000e-01 2.500000e-02 4.457862e-05
10 90 2.000000e-01 2.222222e-02 4.208075e-05
10 100 2.000000e-01 2.000000e-02 3.987647e-05
20 10 1.000000e-01 2.000000e-01 1.742412e-05
20 20 1.000000e-01 1.000000e-01 1.239019e-05
20 30 1.000000e-01 6.666667e-02 1.013884e-05
20 40 1.000000e-01 5.000000e-02 8.798326e-06
20 50 1.000000e-01 4.000000e-02 7.868699e-06
20 60 1.000000e-01 3.333333e-02 7.194734e-06
20 70 1.000000e-01 2.857143e-02 6.673692e-06
20 80 1.000000e-01 2.500000e-02 6.231185e-06
20 90 1.000000e-01 2.222222e-02 5.893981e-06
20 100 1.000000e-01 2.000000e-02 5.570663e-06
30 10 6.666667e-02 2.000000e-01 4.471723e-06
30 20 6.666667e-02 1.000000e-01 3.216077e-06
30 30 6.666667e-02 6.666667e-02 2.643344e-06
30 40 6.666667e-02 5.000000e-02 2.296924e-06
30 50 6.666667e-02 4.000000e-02 2.059780e-06
30 60 6.666667e-02 3.333333e-02 1.885792e-06
30 70 6.666667e-02 2.857143e-02 1.745576e-06
30 80 6.666667e-02 2.500000e-02 1.638584e-06
30 90 6.666667e-02 2.222222e-02 1.546956e-06
30 100 6.666667e-02 2.000000e-02 1.468819e-06
40 10 5.000000e-02 2.000000e-01 2.481340e-06
40 20 5.000000e-02 1.000000e-01 1.704237e-06
40 30 5.000000e-02 6.666667e-02 1.378292e-06
40 40 5.000000e-02 5.000000e-02 1.185473e-06
40 50 5.000000e-02 4.000000e-02 1.057884e-06
40 60 5.000000e-02 3.333333e-02 9.611793e-07
40 70 5.000000e-02 2.857143e-02 8.865161e-07
40 80 5.000000e-02 2.500000e-02 8.289882e-07
40 90 5.000000e-02 2.222222e-02 7.858520e-07
40 100 5.000000e-02 2.000000e-02 7.431455e-07
50 10 4.000000e-02 2.000000e-01 3.762723e-06
50 20 4.000000e-02 1.000000e-01 2.549079e-06
50 30 4.000000e-02 6.666667e-02 2.050364e-06
50 40 4.000000e-02 5.000000e-02 1.760109e-06
50 50 4.000000e-02 4.000000e-02 1.565167e-06
50 60 4.000000e-02 3.333333e-02 1.424084e-06
50 70 4.000000e-02 2.857143e-02 1.315721e-06
50 80 4.000000e-02 2.500000e-02 1.228191e-06
50 90 4.000000e-02 2.222222e-02 1.150806e-06
50 100 4.000000e-02 2.000000e-02 1.092886e-06
60 10 3.333333e-02 2.000000e-01 4.989550e-06
60 20 3.333333e-02 1.000000e-01 3.406827e-06
60 30 3.333333e-02 6.666667e-02 2.747727e-06
60 40 3.333333e-02 5.000000e-02 2.365352e-06
60 50 3.333333e-02 4.000000e-02 2.105949e-06
60 60 3.333333e-02 3.333333e-02 1.916553e-06
60 70 3.333333e-02 2.857143e-02 1.768847e-06
60 80 3.333333e-02 2.500000e-02 1.650886e-06
60 90 3.333333e-02 2.222222e-02 1.553722e-06
60 100 3.333333e-02 2.000000e-02 1.472516e-06
70 10 2.857143e-02 2.000000e-01 6.153451e-06
70 20 2.857143e-02 1.000000e-01 4.192100e-06
70 30 2.857143e-02 6.666667e-02 3.376275e-06
70 40 2.857143e-02 5.000000e-02 2.904473e-06
70 50 2.857143e-02 4.000000e-02 2.585734e-06
70 60 2.857143e-02 3.333333e-02 2.353471e-06
70 70 2.857143e-02 2.857143e-02 2.173572e-06
70 80 2.857143e-02 2.500000e-02 2.028732e-06
70 90 2.857143e-02 2.222222e-02 1.909429e-06
70 100 2.857143e-02 2.000000e-02 1.808194e-06
80 10 2.500000e-02 2.000000e-01 7.218736e-06
80 20 2.500000e-02 1.000000e-01 4.915582e-06
80 30 2.500000e-02 6.666667e-02 3.961407e-06
80 40 2.500000e-02 5.000000e-02 3.407796e-06
80 50 2.500000e-02 4.000000e-02 3.034904e-06
80 60 2.500000e-02 3.333333e-02 2.762556e-06
80 70 2.500000e-02 2.857143e-02 2.551405e-06
80 80 2.500000e-02 2.500000e-02 2.381959e-06
80 90 2.500000e-02 2.222222e-02 2.242274e-06
80 100 2.500000e-02 2.000000e-02 2.124523e-06
90 10 2.222222e-02 2.000000e-01 8.233757e-06
90 20 2.222222e-02 1.000000e-01 5.609618e-06
90 30 2.222222e-02 6.666667e-02 4.521941e-06
90 40 2.222222e-02 5.000000e-02 3.889868e-06
90 50 2.222222e-02 4.000000e-02 3.464631e-06
90 60 2.222222e-02 3.333333e-02 3.153657e-06
90 70 2.222222e-02 2.857143e-02 2.913231e-06
90 80 2.222222e-02 2.500000e-02 2.720566e-06
90 90 2.222222e-02 2.222222e-02 2.561627e-06
90 100 2.222222e-02 2.000000e-02 2.426522e-06
100 10 2.000000e-02 2.000000e-01 9.227573e-06
100 20 2.000000e-02 1.000000e-01 6.290807e-06
100 30 2.000000e-02 6.666667e-02 5.071308e-06
100 40 2.000000e-02 5.000000e-02 4.364864e-06
100 50 2.000000e-02 4.000000e-02 3.887440e-06
100 60 2.000000e-02 3.333333e-02 3.539503e-06
100 70 2.000000e-02 2.857143e-02 3.269758e-06
100 80 2.000000e-02 2.500000e-02 3.053811e-06
100 90 2.000000e-02 2.222222e-02 2.875395e-06
100 100 2.000000e-02 2.000000e-02 2.724959e-06
